id,hazard,prior_report,relevant_precedent (y/n),notes
ntsb-case-74638930,KSGF: runway — Takeoff Runway incursion veh/AC/person,Probable cause: The pilot's failure to abort the takeoff resulting in a runway overrun and impact with terrain. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Incorrect use/operation - C; Personnel issues-Action/decision-Action-Incorrect action selection-Pilot - C Sequence: Takeoff Runway excursion; Takeoff Nose over/nose down,,
ntsb-case-87355373,KRDG: runway — Landing Runway incursion veh/AC/person,"During the landing rollout, the airplane’s left wing collided with the right side of the tractor when the tractor was “slightly” left of runway centerline. Calculations estimated that the airplane was about 1,000 feet from the collision point when the tractor emerged from the taxiway, and skid marks confirmed that the airplane had been steered to the right to avoid impact. Prior to the crossing attempt, the tractor operator did not scan the runway, and was concentrating on the left side bat wing. Federal Aviation Administration publications do not adequately address the need for ground vehicle",,
fixture-notam-01229284,KORD: Taxiway K closed between A and M until 15 Sep 2000Z,Synopsis: GA pilot reported a ground conflict with opposite direction traffic during taxi to parking. Pilot deviated off the centerline to avoid a collision. Pilot further stated ATC caused the conflict by issuing taxi clearance to opposite direction aircraft with insufficient room to pass safely.,,
fixture-notam-58188481,KLAX: Runway 25L closed (work in progress) until 15 Sep 1400Z,Active preventive or predictive risk analysis may have trapped these human errors. Synopsis: A corporate pilot reported the circumstances that led to landing at the incorrect airport after cancellation of instrument flight plan.,,
fixture-notam-64921754,KEWR: ILS 04R unserviceable (maintenance) until 16 Sep 0000Z (est),"Probable cause: The pilot’s improper glidepath during a night approach, which resulted in impact with terrain short of the runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation - C; Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Effect on operation Sequence: Landing Landing area undershoot; Landing Collision with terr/obj (non-CFIT); Landing Loss of control on ground",,
fixture-notam-93550966,KPHX: Runway 08 closed until 15 Sep 1200Z,"Probable cause: The pilot's delayed decision to go-around after failing to recognize that he was attempting to land with a tailwind, and his failure to retract the landing gear and wing flaps for the go-around, which resulted in a collision with trees and terrain near the departure end of the runway. Findings: Personnel issues-Action/decision-Action-Delayed action-Pilot - C; Environmental issues-Conditions/weather/phenomena-Wind-Tailwind-Effect on operation; Aircraft-Aircraft systems-Landing gear system-(general)-Incorrect use/operation - C; Aircraft-Aircraft systems-Flight control system-TE f",,
ntsb-case-21953254,KLKP: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Availability of related info - F; Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Awareness of condition - F,Contributing to the accident was flight service's failure to brief the pilot of the closed runway. Findings: Personnel issues-Psychological-Perception/orientation/illusio-Perception-Pilot - C; Personnel issues-Action/decision-Action-Forgotten action/omission-Flight service personnel - F; Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Availability of related info - F; Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Awareness of condition - F Sequence: Landing Airport occurrence; Landing Landin,,
ntsb-case-10958715,KILG: lighting — Environmental issues-Operating environment-Airport facilities/design-Runway lighting-Effect on personnel,"Contributing to the accident were the pilot's inadequate choice of landing approach, reduced visibility from brownout conditions, and the dark night. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - F; Personnel issues-Psychological-Perception/orientation/illusio-Spatial disorientation-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Climb rate-Not attained/maintained - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not specified - F; Environmental issues-Co",,
fixture-notam-24455119,KLAS: Taxiway B closed until 15 Sep 1800Z (est),As soon as you look away a pilot can make a mistake and turn the wrong way. Synopsis: Tower Controller described a probable runway incursion event when after responding correctly to a taxi clearance; the aircraft made a wrong turn and may have crossed the runway hold lines.,,
fixture-notam-21530425,KORD: Taxiway K closed between A and M until 15 Sep 2000Z,The airport needs to do a better job of signage if that taxi-route is used more frequently to avoid confusion. Synopsis: Regional Jet Captain reported confusion with the amount of ORD NOTAMS; poor signage and charting; which resulted in taxiway and runway incursion.,,
fixture-notam-40738380,KMCO: Runway 18R closed (work in progress) until 15 Sep 1300Z,Active preventive or predictive risk analysis may have trapped these human errors. Synopsis: A corporate pilot reported the circumstances that led to landing at the incorrect airport after cancellation of instrument flight plan.,,
fixture-notam-27930281,KLAX: Runway 25L closed (work in progress) until 15 Sep 1400Z,"Probable cause: The pilot’s improper approach, which resulted in a faster than normal touchdown and subsequent runway overrun. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation; Environmental issues-Physical environment-Object/animal/substance-Ground vehicle-Contributed to outcome Sequence: Approach-VFR go-around Collision during takeoff/land",,
ntsb-case-27517716,KPAE: lighting — Environmental issues-Operating environment-Airport facilities/design-Obstruction markings/lighting-Contributed to outcome - F,Contributing to the accident were the inadequately marked heliport surface and the close proximity of an obstruction near the landing area. Findings: Personnel issues-Psychological-Perception/orientation/illusio-Perception-Copilot - C; Environmental issues-Operating environment-Airport facilities/design-Runway markings/signage-Effect on operation - F; Environmental issues-Physical environment-Object/animal/substance-Pole-Not specified - F Sequence: Landing Collision during takeoff/land; Landing-flare/touchdown Roll over,,
ntsb-case-54022765,KCCB: runway — Landing-landing roll Runway incursion veh/AC/person; Taxi-from runway Runway incursion veh/AC/person,During some vectors around more weather into SAT the Captain side began to slowly regain air data. My side was a little more delayed and eventually returned closer to landing. Once on final the pilot flying was able to get a visual on Runway 4 and an overweight landing was made. We taxied under our own power to the terminal where flight termination was made.Threats included in this event are numerous and at times quite compounding. Adverse weather; ATC communication during weather; aircraft malfunction; stress of situation; and distractions based on all outside in influences. Errors included p,,
ntsb-case-95800229,KHPB: lighting — Environmental issues-Operating environment-Airport facilities/design-Airport lighting-Effect on operation,Contributing to the accident was the pilot’s inability to activate the private airport’s pilot-controlled lighting system due to its configuration. Findings: Personnel issues-Psychological-Perception/orientation/illusion-Geographic disorient (lost)-Pilot - C; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Environmental issues-Operating environment-Airport facilities/design-Runway lighting-Effect on operation - F; Environmental issues-Conditions/weather/phenomena-Light condition-Low light-Effect on personnel; Environmental issues-Physical environme,,
ntsb-case-36870796,KTVC: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Contributed to outcome - C; Approach Birdstrike,"Contributing to the accident was the pilot’s pitch-up reaction to birds that took flight during his approach for the precautionary landing, which resulted in an inadvertent stall. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - F; Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - F Sequence: Enroute Unknown or undet",,
ntsb-case-06485021,KSNC: lighting — Environmental issues-Operating environment-Airport facilities/design-Runway lighting-Not specified - F,Contributing to the accident was the pilot’s failure to select the appropriate radio frequency to activate the runway lights. Findings: Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C; Personnel issues-Action/decision-Action-Lack of action-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Fence/fence post-Contributed to outcome; Environmental issues-Operating environment-Airport facilities/design-(general)-Awareness of condition - C; Personnel issues-Task performance-Use of equip/info-Use of equip/system-Pilot - F; Environmental issues-,,
ntsb-case-49128376,KMTH: lighting — Aircraft-Aircraft systems-Lighting system-Exterior lighting-Malfunction,"Probable cause: The flight instructor's decision to continue flight into the area of reduced visibility and the pilots’ subsequent failure to maintain clearance from the hilly terrain while operating in an area of low ceilings, rain, and fog. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Instructor/check pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C; Personnel issues-Action/decision-Action-(general)-Pilot - C; Environmental issues-Conditions/weather/phenomena-Ceiling/visibilit",,
fixture-notam-91955840,KSEA: ALS 16C unserviceable until 15 Sep 1000Z,"Probable cause: The pilot's failure to maintain directional control during takeoff, which resulted in a runway excursion and an impact with runway lights. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Runway/taxi/approach light-Effect on operation - C Sequence: Takeoff Loss of control on ground; Takeoff Runway excursion; Takeoff Collision with terr/obj (non-CFIT)",,
ntsb-case-23232528,KRKD: runway — Takeoff Runway incursion veh/AC/person,Probable cause: The pilot's inaccurate takeoff performance calculations and failure to maintain directional control during an aborted takeoff. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Task performance-Planning/preparation-Performance calculations-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-(general)-Decision related to condition; Environmental issues-Physical environment,,
fixture-notam-10791343,KATL: Runway 10 closed until 15 Sep 1000Z,"Probable cause: The pilot's inadequate approach, delayed decision to abort the landing, and failure to properly configure the flap setting for the initial climb during the attempted aborted landing, which resulted in impact with trees. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Climb rate-Not attained/maintained - C; Personnel issues-Task p",,
ntsb-case-60910181,KEEN: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Ability to respond/compensate - C; Landing-flare/touchdown Wildlife encounter (non-bird),"Probable cause: The pilot’s improper landing flare in strong gusting wind conditions, which resulted in a bounced landing, and his loss of directional control during an attempted go-around, which resulted in a runway excursion and impact with objects. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Not attained/maintained - C; Environmental issues-Conditions/weather/phenomena-Wind-Gusts-Effect on operation - C; Environmental issues-Conditions/weather/phenomena-Wind-High",,
ntsb-case-87146460,KLZU: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C; Takeoff Wildlife encounter (non-bird),Probable cause: The airplane’s impact with a deer during takeoff. Findings: Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment; Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Contributed to outcome Sequence: Takeoff Wildlife encounter (non-bird); Takeoff Collision during takeoff/land; Takeoff-rejected takeoff Collision during takeoff/land; Takeoff Part(s) separation from AC,,
fixture-notam-09901566,KSAN: Runway 27 closed (work in progress) until 15 Sep 1100Z,Probable cause: The pilot’s failure to establish stabilized approach that would have allowed the airplane to touch down with adequate runway remaining. Contributing to the accident was the pilot’s failure to execute a go-around. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained Sequence: Landing-flare/touchdown Abnormal runway contact; Landing-landing roll Runway excursion,,
ntsb-case-68361708,KCDW: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Effect on operation - F,"Contributing to the accident was the pilot's decision to take off in low visibility conditions, which precluded him from being able to locate a suitable emergency landing area. Findings: Personnel issues-Action/decision-Action-Lack of action-Pilot - C; Personnel issues-Action/decision-Info processing/decision-Identification/recognition-Pilot - C; Aircraft-Aircraft power plant-Engine fuel and control-Fuel control/carburetor-Incorrect use/operation - C; Aircraft-Aircraft systems-Ice/rain protection system-Intake anti-ice, deice-Not used/operated - C; Personnel issues-Task performance-Use of equi",,
ntsb-case-62604088,PRIV: runway — Landing-landing roll Runway incursion veh/AC/person,"Probable cause: A runway incursion, which resulted in a go-around, and subsequent forced landing when the airplane was not able to climb at a rate sufficient to clear approaching rising terrain. Findings: Environmental issues-Physical environment-Object/animal/substance-Ground vehicle-Effect on operation; Environmental issues-Physical environment-Terrain-Mountainous/hilly terrain-Contributed to outcome Sequence: Landing-flare/touchdown Runway incursion veh/AC/person; Approach-VFR go-around Collision during takeoff/land",,
ntsb-case-62525272,KBOS: runway — Takeoff Runway incursion veh/AC/person,"Contributing to the accident was the pilot’s failure to follow published airport guidance about go-arounds, and landings and takeoffs with unfavorable winds. Findings: Personnel issues-Action/decision-Action-Incorrect action selection-Pilot; Personnel issues-Task performance-Planning/preparation-(general)-Pilot; Personnel issues-Task performance-Planning/preparation-Performance calculations-Pilot; Personnel issues-Task performance-Use of equip/info-Use of charts-Pilot; Personnel issues-Task performance-Use of equip/info-Use of equip/system-Pilot; Aircraft-Aircraft oper/perf/capability-Aircraft",,
fixture-notam-68873023,KSLC: PAPI 34L unserviceable until 15 Sep 0800Z,"Given this history, it is possible that, with a more robust system of oversight and surveillance of balloon operators, the Federal Aviation Administration would have identified the accident pilot as a potential safety risk and taken steps to mitigate this risk. Probable cause: The pilot's inadequate preflight and inflight planning and improper landing site selection and approach path, which resulted in the balloon contacting powerlines during landing. Contributing to the accident was the Federal Aviation Administration's inadequate oversight of balloon tour operators.",,
fixture-notam-96497292,KSEA: ALS 16C unserviceable until 15 Sep 1000Z,"Probable cause: The pilot’s failure to maintain directional control while landing in variable wind conditions, which resulted in runway excursion and collision with an approach light. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained; Environmental issues-Conditions/weather/phenomena-Wind-Variable wind-Response/compensation Sequence: Landing Loss of control on ground; Landing-landing roll Runway excursion; Landing-landing roll Collision with terr",,
fixture-notam-04360617,KATL: Runway 10 closed until 15 Sep 1000Z,"Probable cause: The pilot's failure to maintain the proper approach path during landing, which resulted in landing short of the runway. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Experience/knowledge-Experience/qualifications-Total experience-Pilot Sequence: Landing Landing area undershoot; Landing-flare/touchdown Collision with terr/obj (non-CFIT); Landing-flare/touchdown Part(s) separation from AC",,
fixture-notam-08529019,"KBOS: Runway 15L/33R closed, permanent","Probable cause: The pilot’s improper glidepath during a night approach, which resulted in impact with terrain short of the runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Incorrect use/operation - C; Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Effect on operation Sequence: Landing Landing area undershoot; Landing Collision with terr/obj (non-CFIT); Landing Loss of control on ground",,
fixture-notam-53444812,KPHX: Runway 08 closed until 15 Sep 1200Z,Contributing to the incident was the lack of standard coordination procedures between the tower and approach control for temporary runway changes and the accepted practice of operations supervisors being distracted by non-operational duties while responsible for tower operations and interfacility coordination. Findings: Personnel issues-Task performance-Communication (personnel)-Accuracy of communication-ATC personnel - C; Organizational issues-Support/oversight/monitoring-Oversight-Oversight of operation-ATC - F; Organizational issues-Management-Policy/procedure-Adequacy of policy/proc-ATC - ,,
fixture-notam-38834103,KIAH: VOR unserviceable until 17 Sep 0100Z,Contributing to the accident was the pilot’s failure to obtain a preflight weather briefing. Findings: Personnel issues-Task performance-Planning/preparation-Weather planning-Pilot; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained; Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on equipment Sequence: Enroute-cruise Windshear or thunderstorm; Enroute-cruise Turbulence encounter,,
fixture-notam-32542222,KORD: Taxiway K closed between A and M until 15 Sep 2000Z,During after landing taxi; I took a wrong turn on an unauthorized taxiway due to fatigue & confusion with my position on the ground. To prevent recurrence; after clearing the active runway; I will stop the aircraft to ensure I look at the taxi diagram closely to clarify our taxi instructions before proceeding towards the ramp. Synopsis: Pilot flying reported making a wrong turn during taxi due to fatigue and confusion.,,
ntsb-case-75498108,KSGF: runway — Takeoff Runway incursion veh/AC/person,Probable cause: The pilot's inaccurate takeoff performance calculations and failure to maintain directional control during an aborted takeoff. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Task performance-Planning/preparation-Performance calculations-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-(general)-Decision related to condition; Environmental issues-Physical environment,,
ntsb-case-42126228,KVIH: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - C; Takeoff Wildlife encounter (non-bird),Contributing to the accident was the lack of an airport perimeter fence. Findings: Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Response/compensation - C; Environmental issues-Operating environment-Airport facilities/design-(general)-Effect on operation - F; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-(general)-Contributed to outcome; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot Sequence: Landing-landing roll Wildlife encounter (non-bird); Landing-landing roll Runway excursion; Landing-landing r,,
ntsb-case-35237053,KGSN: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C; Takeoff Birdstrike,"Probable cause: Improper maintenance that led to a loss of engine power due to a failed left engine magneto, the pilot’s improper application of single engine emergency procedures, and his failure to maintain control of the airplane which resulted in a collision with trees. Findings: Aircraft-Aircraft power plant-Ignition system-Magneto/distributor-Failure; Aircraft-Aircraft power plant-Engine exhaust-(general)-Damaged/degraded; Aircraft-Aircraft power plant-Engine exhaust-(general)-Fatigue/wear/corrosion; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Environmenta",,
fixture-notam-75209359,KMIA: LOC 09 unserviceable until 15 Sep 1600Z (est),[We were] cleared to intercept localizer to Runway 09 at Miami on a heading of approximately 150. At localizer 'capture' aircraft began turn to capture localizer but rolled out on a 124 heading; taking aircraft to the south of course; despite pink bars being centered. We realized we still had the original course of 124 dialed in for the original Runway 12 assignment. I manually flew back to course as First Officer dialed in correct course of 092. Deviation took us about 3/4 mile to the south of course centerline before correction. We intercepted well outside of final approach fix and rest of a,,
fixture-notam-97513976,KMIA: LOC 09 unserviceable until 15 Sep 1600Z (est),Contributing to the accident were the unserviceable runway lights at the destination airport. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained; Environmental issues-Operating environment-Airport facilities/design-Runway lighting-Contributed to outcome Sequence: Approach-VFR pattern final Collision with terr/obj (non-CFIT),,
ntsb-case-79438791,KSFO: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Awareness of condition,"Contributing to the accident was the flight crew's failure to adequately monitor their location with respect to the rising terrain environment ahead, and, their lack of crew resource management communication as a crew. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C; Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Flight crew - F; Personnel issues-Task performance-Communication (personnel)-Lack of communication-Flight crew - F; Environmental issues-Physical environment-Terrain-Mountainous/hilly terr",,
ntsb-case-08122376,KVIH: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - C; Takeoff Wildlife encounter (non-bird),"During the takeoff following a touch-and-go landing, a flight of birds flew in front of the airplane and caused a bird strike on the ride side of the airplane. The pilot aborted the takeoff, landed on the runway, and was unable to stop as he reported there was ""no runway distance for safe landing."" The airplane departed the end of the runway, impacted terrain, and nosed over. The airplane sustained minor damage from the bird strike, and substantial damage to the fuselage and to the empennage during the accident. The pilot reported there were no pre-impact mechanical failures or malfunctions wi",,
ntsb-case-64767482,KCLE: runway — Initial climb Runway incursion veh/AC/person; Taxi-into takeoff position Runway incursion veh/AC/person,Synopsis: Reporter describes a runway incursion by a departing aircraft and a vehicle doing inspections on the runway. Vehicle had to take evasive actions to avoid a collision.,,
fixture-notam-32521025,KIAH: VOR unserviceable until 17 Sep 0100Z,"Probable cause: The pilot's distraction and subsequent loss of situational awareness and visual horizon in overcast sky conditions, which led to an unrecognized descent during a low-level maneuver and subsequent impact with snow-covered terrain. Findings: Personnel issues-Psychological-Perception/orientation/illusion-Situational awareness-Pilot - C; Personnel issues-Psychological-Attention/monitoring-Attention-Pilot - C; Environmental issues-Physical environment-Terrain-Snowy/icy terrain-Contributed to outcome; Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Clouds-",,
fixture-notam-80414599,KIAH: VOR unserviceable until 17 Sep 0100Z,Contributing to the accident was the pilot-in-command’s failure to monitor the environment before flying into mountainous terrain. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Angle of attack-Capability exceeded; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Pilot; Environmental issues-Physical environment-Terrain-Mountainous/hilly terrain-Effect on oper,,
fixture-notam-38908490,KIAD: HIRL 01C unserviceable until 15 Sep 0500Z,"Contributing to the accident were high winds and a short, downhill sloped runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Surface speed/braking-Not attained/maintained - C; Environmental issues-Conditions/weather/phenomena-Wind-High wind-Effect on operation - F; Environmental issues-Operating environment-Airport facilities/design-Runway/landing area length-Effect on operation - F; Environmental issues-Physical environment-Terrain-Sloped/uneven-Effect on operation - F Sequence",,
fixture-notam-66599152,KLAS: Taxiway B closed until 15 Sep 1800Z (est),"Probable cause: The pilot's failure to maintain directional control during taxi, which resulted in a runway excursion and impact with terrain. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Snow/slush/ice covered surface-Effect on operation; Environmental issues-Physical environme",,
